u,v,length_km,capacity_gbps_per_lambda,wavelength_slots,available_slots,estimated_spans,amplifier_count,total_line_capacity_gbps
1,9,53.67608493503041,100,84,56,1,0,8400
1,11,23.21677558521972,400,88,68,1,0,35200
2,91,32.44181909502234,200,45,40,1,0,9000
2,125,51.65645994046556,600,83,67,1,0,49800
3,4,38.76167095006804,400,47,31,1,0,18800
3,6,56.37807395781722,400,61,53,1,0,24400
4,50,27.427228585265617,600,76,63,1,0,45600
5,6,14.991428996578167,400,65,38,1,0,26000
6,9,38.42481414838552,100,71,37,1,0,7100
6,7,61.110242402834466,800,87,65,1,0,69600
7,8,62.638533278413995,100,83,53,1,0,8300
8,10,53.36216251125787,100,95,81,1,0,9500
10,19,22.81598588522793,600,84,48,1,0,50400
10,20,38.99747556331364,200,66,34,1,0,13200
11,14,46.15257719461819,400,48,37,1,0,19200
12,17,83.33028090366851,800,82,72,2,1,65600
12,18,62.37911373926708,400,58,37,1,0,23200
12,13,67.65462207309069,100,66,38,1,0,6600
12,32,92.96990150647368,400,47,32,2,1,18800
13,14,57.70445145721449,200,52,39,1,0,10400
13,31,53.99813188471215,800,64,53,1,0,51200
15,36,80.45915692103158,600,79,49,2,1,47400
15,31,36.896392079192715,600,87,71,1,0,52200
16,19,72.92775993093844,800,62,38,1,0,49600
16,20,35.36159097414904,200,78,43,1,0,15600
16,71,60.97528993651761,800,51,25,1,0,40800
17,18,21.331912577342443,600,84,64,1,0,50400
20,118,54.85240449721972,400,80,64,1,0,32000
21,27,64.00361879284375,400,66,48,1,0,26400
21,53,56.36995898035699,100,47,25,1,0,4700
21,22,81.43388563567208,400,78,53,2,1,31200
22,26,22.85168544380623,800,72,58,1,0,57600
23,38,62.662284136498975,400,76,54,1,0,30400
23,24,54.66701510163605,100,71,44,1,0,7100
23,26,71.96088201466267,600,41,27,1,0,24600
24,26,50.42515320135472,800,52,34,1,0,41600
24,55,24.096355369592832,800,88,52,1,0,70400
25,26,43.44323292035393,800,43,26,1,0,34400
25,28,39.156761680907195,800,56,42,1,0,44800
25,76,38.090942121395365,100,71,57,1,0,7100
26,84,16.646342611734365,800,77,51,1,0,61600
27,81,55.525385360101836,400,86,48,1,0,34400
28,81,32.18985721145571,200,41,21,1,0,8200
29,38,26.78124130476583,600,81,55,1,0,48600
32,35,87.60276225772347,600,49,34,2,1,29400
33,128,38.3608499528148,800,48,37,1,0,38400
33,129,21.900187278471368,400,65,42,1,0,26000
33,130,114.17208123018507,200,57,42,2,1,11400
33,117,43.3937883448986,600,60,32,1,0,36000
34,117,50.890406242208314,200,46,40,1,0,9200
34,39,84.74611156597823,200,91,70,2,1,18200
35,61,48.15300005322727,400,55,48,1,0,22000
36,69,48.011753700511285,200,84,66,1,0,16800
37,38,100.17479213979806,600,65,39,2,1,39000
37,40,104.27569003800502,100,45,38,2,1,4500
38,74,29.096289977492592,100,65,37,1,0,6500
39,40,82.93823777200426,600,57,41,2,1,34200
41,42,83.24596628259371,400,50,42,2,1,20000
41,141,59.56166842307562,100,83,65,1,0,8300
41,48,75.67363154671723,600,64,48,1,0,38400
42,47,139.76100357165694,100,73,55,2,1,7300
43,108,42.534060787193646,600,44,29,1,0,26400
44,138,28.930750673882276,600,42,29,1,0,25200
44,108,74.37557622920647,100,58,32,1,0,5800
45,47,154.98794819556957,600,45,33,2,1,27000
46,49,48.046078040543144,600,49,42,1,0,29400
46,123,97.8960383922049,800,73,46,2,1,58400
47,127,41.503739315786575,600,73,37,1,0,43800
47,48,149.7192050197938,100,94,65,2,1,9400
47,122,60.75518762039962,400,84,44,1,0,33600
47,123,162.19934034107942,200,67,46,3,2,13400
48,107,87.656825038777,400,93,67,2,1,37200
49,50,44.648049783080445,400,66,40,1,0,26400
51,59,45.62895810454273,800,58,41,1,0,46400
52,135,38.15734513556853,800,65,33,1,0,52000
52,59,59.90738639564441,200,87,74,1,0,17400
53,131,60.38391727214964,400,47,33,1,0,18800
53,132,45.168628470222245,200,46,35,1,0,9200
