node_id,function,count
1,lambda_routing,1
2,lambda_routing,1
3,lambda_routing,1
4,lambda_routing,1
5,lambda_routing,1
6,lambda_routing,1
7,lambda_routing,1
8,lambda_routing,1
9,lambda_routing,1
10,lambda_routing,1
11,lambda_routing,1
12,lambda_routing,1
13,lambda_routing,1
14,lambda_routing,1
15,lambda_routing,1
16,lambda_routing,1
17,lambda_routing,1
18,lambda_routing,1
19,lambda_routing,1
20,lambda_routing,1
21,lambda_routing,1
22,lambda_routing,1
23,lambda_routing,1
24,lambda_routing,1
25,lambda_routing,1
26,lambda_routing,1
27,lambda_routing,1
28,lambda_routing,1
29,lambda_routing,1
31,lambda_routing,1
32,lambda_routing,1
33,lambda_routing,1
34,lambda_routing,1
35,lambda_routing,1
36,lambda_routing,1
37,lambda_routing,1
38,lambda_routing,1
39,lambda_routing,1
40,lambda_routing,1
41,lambda_routing,1
42,lambda_routing,1
43,lambda_routing,1
44,lambda_routing,1
45,lambda_routing,1
46,lambda_routing,1
47,lambda_routing,1
48,lambda_routing,1
49,lambda_routing,1
50,lambda_routing,1
51,lambda_routing,1
52,lambda_routing,1
53,lambda_routing,1
54,lambda_routing,1
55,lambda_routing,1
56,lambda_routing,1
57,lambda_routing,1
58,lambda_routing,1
59,lambda_routing,1
60,lambda_routing,1
61,lambda_routing,1
62,lambda_routing,1
63,lambda_routing,1
64,lambda_routing,1
65,lambda_routing,1
66,lambda_routing,1
67,lambda_routing,1
68,lambda_routing,1
69,lambda_routing,1
70,lambda_routing,1
71,lambda_routing,1
72,lambda_routing,1
73,lambda_routing,1
74,lambda_routing,1
75,lambda_routing,1
76,lambda_routing,1
77,lambda_routing,1
78,lambda_routing,1
79,lambda_routing,1
80,lambda_routing,1
81,lambda_routing,1
82,lambda_routing,1
83,lambda_routing,1
84,lambda_routing,1
85,lambda_routing,1
86,lambda_routing,1
87,lambda_routing,1
88,lambda_routing,1
89,lambda_routing,1
90,lambda_routing,1
91,lambda_routing,1
92,lambda_routing,1
93,lambda_routing,1
94,lambda_routing,1
95,lambda_routing,1
96,lambda_routing,1
97,lambda_routing,1
98,lambda_routing,1
99,lambda_routing,1
100,lambda_routing,1
101,lambda_routing,1
102,lambda_routing,1
103,lambda_routing,1
104,lambda_routing,1
105,lambda_routing,1
106,lambda_routing,1
107,lambda_routing,1
108,lambda_routing,1
109,lambda_routing,1
110,lambda_routing,1
111,lambda_routing,1
112,lambda_routing,1
113,lambda_routing,1
114,lambda_routing,1
115,lambda_routing,1
116,lambda_routing,1
117,lambda_routing,1
118,lambda_routing,1
119,lambda_routing,1
120,lambda_routing,1
121,lambda_routing,1
122,lambda_routing,1
123,lambda_routing,1
124,lambda_routing,1
125,lambda_routing,1
126,lambda_routing,1
127,lambda_routing,1
128,lambda_routing,1
129,lambda_routing,1
130,lambda_routing,1
131,lambda_routing,1
132,lambda_routing,1
133,lambda_routing,1
134,lambda_routing,1
135,lambda_routing,1
136,lambda_routing,1
137,lambda_routing,1
138,lambda_routing,1
139,lambda_routing,1
140,lambda_routing,1
141,lambda_routing,1
142,lambda_routing,1
143,lambda_routing,1
47,optical_control_plane,2
98,optical_control_plane,1
26,optical_control_plane,1
53,optical_control_plane,1
81,optical_control_plane,2
91,optical_control_plane,1
95,optical_control_plane,1
119,optical_control_plane,2
128,optical_control_plane,2
6,optical_control_plane,1
