node_id,function,count
1,lambda_routing,1
2,lambda_routing,1
3,lambda_routing,1
4,lambda_routing,1
5,lambda_routing,1
6,lambda_routing,1
7,lambda_routing,1
8,lambda_routing,1
9,lambda_routing,1
10,lambda_routing,1
11,lambda_routing,1
12,lambda_routing,1
13,lambda_routing,1
14,lambda_routing,1
15,lambda_routing,1
16,lambda_routing,1
17,lambda_routing,1
18,lambda_routing,1
19,lambda_routing,1
20,lambda_routing,1
21,lambda_routing,1
22,lambda_routing,1
23,lambda_routing,1
24,lambda_routing,1
25,lambda_routing,1
26,lambda_routing,1
27,lambda_routing,1
28,lambda_routing,1
29,lambda_routing,1
30,lambda_routing,1
31,lambda_routing,1
32,lambda_routing,1
33,lambda_routing,1
34,lambda_routing,1
35,lambda_routing,1
36,lambda_routing,1
37,lambda_routing,1
38,lambda_routing,1
39,lambda_routing,1
40,lambda_routing,1
41,lambda_routing,1
42,lambda_routing,1
43,lambda_routing,1
44,lambda_routing,1
45,lambda_routing,1
46,lambda_routing,1
47,lambda_routing,1
48,lambda_routing,1
49,lambda_routing,1
50,lambda_routing,1
51,lambda_routing,1
52,lambda_routing,1
53,lambda_routing,1
54,lambda_routing,1
55,lambda_routing,1
56,lambda_routing,1
57,lambda_routing,1
58,lambda_routing,1
59,lambda_routing,1
60,lambda_routing,1
61,lambda_routing,1
62,lambda_routing,1
63,lambda_routing,1
64,lambda_routing,1
65,lambda_routing,1
66,lambda_routing,1
67,lambda_routing,1
68,lambda_routing,1
69,lambda_routing,1
70,lambda_routing,1
71,lambda_routing,1
72,lambda_routing,1
73,lambda_routing,1
74,lambda_routing,1
75,lambda_routing,1
76,lambda_routing,1
77,lambda_routing,1
78,lambda_routing,1
79,lambda_routing,1
80,lambda_routing,1
81,lambda_routing,1
82,lambda_routing,1
83,lambda_routing,1
84,lambda_routing,1
85,lambda_routing,1
86,lambda_routing,1
87,lambda_routing,1
88,lambda_routing,1
89,lambda_routing,1
90,lambda_routing,1
91,lambda_routing,1
92,lambda_routing,1
93,lambda_routing,1
94,lambda_routing,1
95,lambda_routing,1
96,lambda_routing,1
97,lambda_routing,1
98,lambda_routing,1
99,lambda_routing,1
100,lambda_routing,1
19,optical_control_plane,2
27,optical_control_plane,1
39,optical_control_plane,1
60,optical_control_plane,1
65,optical_control_plane,2
25,optical_control_plane,1
28,optical_control_plane,1
49,optical_control_plane,2
51,optical_control_plane,2
56,optical_control_plane,1
58,optical_control_plane,2
84,optical_control_plane,1
93,optical_control_plane,2
4,optical_control_plane,2
6,optical_control_plane,1
19,pce,1
27,pce,2
39,pce,2
60,pce,2
65,pce,2
25,pce,2
28,pce,2
49,pce,2
51,pce,2
56,pce,2
58,pce,1
84,pce,1
93,pce,2
4,pce,1
6,pce,2
19,protection_switching,2
27,protection_switching,2
39,protection_switching,1
60,protection_switching,1
65,protection_switching,2
25,protection_switching,1
28,protection_switching,2
49,protection_switching,1
51,protection_switching,2
56,protection_switching,2
58,protection_switching,1
84,protection_switching,2
93,protection_switching,1
4,protection_switching,2
6,protection_switching,2
19,restoration,1
27,restoration,2
39,restoration,1
60,restoration,2
65,restoration,2
25,restoration,1
28,restoration,2
49,restoration,1
51,restoration,2
56,restoration,1
58,restoration,1
84,restoration,2
93,restoration,1
4,restoration,2
6,restoration,2
19,regeneration,2
39,regeneration,2
60,regeneration,1
25,regeneration,2
